solar_ref_id,lat,long,state,postcode
AUS_SOLAR_REF_279,-41.594913,146.815084,TAS,7303
AUS_SOLAR_REF_280,-27.79086937,137.6742761,SA,5733
AUS_SOLAR_REF_281,-23.73624214,145.2156326,QLD,4725
AUS_SOLAR_REF_282,-32.979123,117.306862,WA,6312
AUS_SOLAR_REF_283,-33.036339,137.277293,SA,5600
AUS_SOLAR_REF_284,-36.44,148.333,NSW,2624
AUS_SOLAR_REF_285,-34.321422,145.914625,NSW,2680
AUS_SOLAR_REF_286,-38.305806,145.136622,VIC,3915
AUS_SOLAR_REF_287,-22.265028,113.954791,WA,6707
AUS_SOLAR_REF_288,-12.533944,142.267938,QLD,4874
AUS_SOLAR_REF_289,-31.74718966,152.5759597,NSW,2430
AUS_SOLAR_REF_290,-31.896269,116.742895,WA,6302
AUS_SOLAR_REF_291,-22.026615,124.383893,WA,6760
AUS_SOLAR_REF_292,-25.377582,141.581266,QLD,4481
AUS_SOLAR_REF_293,-35.138155,143.346028,VIC,3594
AUS_SOLAR_REF_294,-32.823221,144.495401,NSW,2878
AUS_SOLAR_REF_295,-37.241401,145.111854,VIC,3658
AUS_SOLAR_REF_296,-20.777471,140.652531,QLD,4824
AUS_SOLAR_REF_297,-28.87101485,140.7244103,SA,5731
AUS_SOLAR_REF_298,-27.569679,115.72384,WA,6630
AUS_SOLAR_REF_299,-28.031524,147.47786,QLD,4488
AUS_SOLAR_REF_300,-27.003199,117.674648,WA,6640
AUS_SOLAR_REF_301,-34.312823,116.402179,WA,6258
AUS_SOLAR_REF_302,-25.765416,151.105529,QLD,4626
AUS_SOLAR_REF_303,-31.373201,147.785831,NSW,2824
AUS_SOLAR_REF_304,-24.367525,147.710806,QLD,4722
AUS_SOLAR_REF_305,-33.647362,117.738912,WA,6317
AUS_SOLAR_REF_306,-30.348514,115.640925,WA,6521
AUS_SOLAR_REF_307,-21.754127,148.569564,QLD,4742
AUS_SOLAR_REF_308,-28.612449,118.157573,WA,6638
AUS_SOLAR_REF_309,-28.056979,152.975131,QLD,4285
AUS_SOLAR_REF_310,-35.628428,149.752107,NSW,2622
AUS_SOLAR_REF_311,-36.25486,150.225372,NSW,2546
AUS_SOLAR_REF_312,-20.27407556,143.0473383,QLD,4822
AUS_SOLAR_REF_313,-31.498123,143.270562,NSW,2836
AUS_SOLAR_REF_314,-36.962316,147.063163,VIC,3741
AUS_SOLAR_REF_315,-27.548962,152.330088,QLD,4072
AUS_SOLAR_REF_316,-41.710417,146.165998,TAS,7304
AUS_SOLAR_REF_317,-17.956336,138.862024,QLD,4830
AUS_SOLAR_REF_318,-31.69444,115.845329,WA,6065
AUS_SOLAR_REF_319,-36.686814,146.313751,VIC,3732
AUS_SOLAR_REF_320,-33.539564,148.633991,NSW,2804
AUS_SOLAR_REF_321,-33.401152,122.211127,WA,6450
AUS_SOLAR_REF_322,-36.84799315,141.9194993,VIC,3409
AUS_SOLAR_REF_323,-25.382928,149.547307,QLD,4420
AUS_SOLAR_REF_324,-24.8925,144.2278,QLD,4731
AUS_SOLAR_REF_325,-30.9942351,118.7279387,WA,6423
AUS_SOLAR_REF_326,-34.52195882,139.509237,SA,5354
AUS_SOLAR_REF_327,-32.58529275,135.0485689,SA,5655
AUS_SOLAR_REF_328,-31.966754,151.080412,NSW,2337
AUS_SOLAR_REF_329,-25.535828,152.042802,QLD,4621
AUS_SOLAR_REF_330,-26.904889,114.627287,WA,6537
AUS_SOLAR_REF_331,-21.33763,149.059737,QLD,4740
AUS_SOLAR_REF_332,-37.567684,149.538907,VIC,3891
AUS_SOLAR_REF_333,-32.11807652,139.6153947,SA,5440
AUS_SOLAR_REF_334,-28.6615014,151.8743463,QLD,4380
AUS_SOLAR_REF_335,-37.449179,140.260783,SA,5280
AUS_SOLAR_REF_336,-27.79517514,135.5333868,SA,5723
AUS_SOLAR_REF_337,-26.248504,143.274156,QLD,4480
AUS_SOLAR_REF_338,-27.383801,149.525379,QLD,4423
AUS_SOLAR_REF_339,-20.867952,147.518462,QLD,4804
AUS_SOLAR_REF_340,-34.152477,139.12488,SA,5374
AUS_SOLAR_REF_341,-33.319068,120.349013,WA,6346
AUS_SOLAR_REF_342,-38.235475,141.437227,VIC,3305
AUS_SOLAR_REF_343,-30.115913,151.673028,NSW,2350
AUS_SOLAR_REF_344,-31.42558954,148.4918433,NSW,2828
AUS_SOLAR_REF_345,-13.643283,136.947051,NT,821
AUS_SOLAR_REF_346,-36.78137,144.457937,VIC,3551
AUS_SOLAR_REF_347,-34.998416,138.819125,SA,5242
AUS_SOLAR_REF_348,-26.7728,152.0973,QLD,4314
AUS_SOLAR_REF_349,-24.393618,150.458694,QLD,4715
AUS_SOLAR_REF_350,-30.01725943,136.0185883,SA,5720
AUS_SOLAR_REF_351,-24.146903,151.634285,QLD,4678
AUS_SOLAR_REF_352,-41.308785,147.702655,TAS,7263
AUS_SOLAR_REF_353,-24.33867148,148.6870871,QLD,4702
AUS_SOLAR_REF_354,-32.946154,115.903112,WA,6218
AUS_SOLAR_REF_355,-26.56412966,134.769553,SA,5734
AUS_SOLAR_REF_356,-30.413331,149.767538,NSW,2390
AUS_SOLAR_REF_357,-38.315452,146.414358,VIC,3842
AUS_SOLAR_REF_358,-17.520343,145.888782,QLD,4860
AUS_SOLAR_REF_359,-20.699288,117.067614,WA,6720
AUS_SOLAR_REF_360,-42.31694,147.48727,TAS,7120
AUS_SOLAR_REF_361,-34.196526,149.254163,NSW,2583
AUS_SOLAR_REF_362,-32.741737,151.543675,NSW,2320
AUS_SOLAR_REF_363,-23.4686864,131.6138326,WA,872
AUS_SOLAR_REF_364,-12.428017,130.873315,NT,804
AUS_SOLAR_REF_365,-38.178237,142.952372,VIC,3265
AUS_SOLAR_REF_366,-23.378941,150.512323,QLD,4701
AUS_SOLAR_REF_367,-27.03692819,151.5475694,QLD,4406
AUS_SOLAR_REF_368,-27.603479,152.823141,QLD,4001
AUS_SOLAR_REF_369,-27.99689395,139.0720696,SA,5733
AUS_SOLAR_REF_370,-31.949349,116.28143,WA,6073
AUS_SOLAR_REF_371,-31.184717,117.381055,WA,6485
AUS_SOLAR_REF_372,-35.931669,144.262942,VIC,3567
AUS_SOLAR_REF_373,-32.24224,148.657282,NSW,2830
AUS_SOLAR_REF_374,-34.487779,147.583811,NSW,2666
AUS_SOLAR_REF_375,-35.379935,148.383619,NSW,2720
AUS_SOLAR_REF_376,-32.844998,146.085138,NSW,2877
AUS_SOLAR_REF_377,-35.811358,137.541715,SA,5223
AUS_SOLAR_REF_378,-26.15513092,146.4317226,QLD,4470
AUS_SOLAR_REF_379,-30.50223813,150.9716354,NSW,2346
AUS_SOLAR_REF_380,-36.405771,143.810786,VIC,3520
AUS_SOLAR_REF_381,-33.44813394,150.2051736,NSW,2790
AUS_SOLAR_REF_382,-29.021683,116.120459,WA,6623
AUS_SOLAR_REF_383,-37.482132,143.662387,VIC,3352
AUS_SOLAR_REF_384,-32.212021,138.883978,SA,5431
AUS_SOLAR_REF_385,-38.118855,142.034141,VIC,3301
AUS_SOLAR_REF_386,-28.907675,153.427314,NSW,2477
